Lever,Action,Source,Organization
Decarbonise heating within the firm's buildings and infrastructure,Install Anerobic Digestion plant to utilise biogas/ biomethane to heat corporate buildings and/ or infrastructure.,Stationary combustion,PwC
Decarbonise heating within the firm's buildings and infrastructure,Switch to green electric heating systems within corporate buildings and/ or infrastructure (through PV <4kw),Stationary combustion,PwC
Decarbonise heating within the firm's buildings and infrastructure,Switch to green electric heating systems within corporate buildings and/ or infrastructure (through PV 10-50 kw),Stationary combustion,PwC
Decarbonise heating within the firm's buildings and infrastructure,Switch to green electric heating systems within corporate buildings and/ or infrastructure (through PV 4-10 kw),Stationary combustion,PwC
Decarbonise heating within the firm's buildings and infrastructure,Switch to green electric heating systems within corporate buildings and/ or infrastructure (through sewage gas),Stationary combustion,PwC
Decarbonise heating within the firm's buildings and infrastructure,Switch to green electric heating systems within corporate buildings and/ or infrastructure (through tidal stream),Stationary combustion,PwC
Decarbonise heating within the firm's buildings and infrastructure,Switch to green electric heating systems within corporate buildings and/ or infrastructure (through wave power),Stationary combustion,PwC
Decarbonise heating within the firm's buildings and infrastructure,Switch to green or pink hydrogen heating within corporate buildings and/ or infrastructure (green hydrogen has the electrolysis process powered by renewables; pink's electrolysis is powered by nuclear energy),Stationary combustion,PwC
Decarbonise heating within the firm's buildings and infrastructure,Switch to green electric heating systems within corporate buildings and/ or infrastructure (through on-shore wind),Stationary combustion,PwC
Decarbonise heating within the firm's buildings and infrastructure,Switch to grey or blue hydrogen heating within corporate buildings and/ or infrastructure (CO2 from electrolysis must be captured by CCS for this action to have large GHG impact),Stationary combustion,PwC
Decarbonise heating within the firm's buildings and infrastructure,Utilise combined heat and power (CHP) for heating within corporate buildings and/or infrastructure.,Stationary combustion,PwC
Decarbonise heating within the firm's buildings and infrastructure,"Utilise combined heat and power generation with a heat recovery steam generator (HRSG) in which waste heat from power production is used in the other processes like refining metal, pulp manufacture, etc.",Stationary combustion,PwC
Decarbonise heating within the firm's buildings and infrastructure,Switch to green electric heating systems within corporate buildings and/ or infrastructure (through large field solar),Stationary combustion,PwC
Decarbonise heating within the firm's buildings and infrastructure,Connect corporate buildings and/ or infrastructure to a district heat network,Stationary combustion,PwC
Decarbonise heating within the firm's buildings and infrastructure,Switch to green electric heating systems within corporate buildings and/ or infrastructure (through hydro 5-16 MW),Stationary combustion,PwC
Decarbonise heating within the firm's buildings and infrastructure,Electrify kiln,Stationary combustion,PwC
Decarbonise heating within the firm's buildings and infrastructure,Switch to green electric heating systems within corporate buildings and/ or infrastructure (through landfill gas,Stationary combustion,Pw
Decarbonise heating within the firm's buildings and infrastructure,Upgrade to heatpump,Stationary combustion,PwC
Decarbonise heating within the firm's buildings and infrastructure,Switch to green electric heating systems within corporate buildings and/ or infrastructure (through off-shore wind),Stationary combustion,PwC
Decarbonise heating within the firm's buildings and infrastructure,Increased share of biomass as kiln fuel,Stationary combustion,PwC
Decarbonise heating within the firm's buildings and infrastructure,Switch to green electric heating systems within corporate buildings and/ or infrastructure (through geothermal),Stationary combustion,PwC
Decarbonise heating within the firm's buildings and infrastructure,"Switch from current heating system to a vertical ground-source heat pumps within corporate buildings and/ or infrastructure (excl. installation costs of buffer tank, cylinder, ground works, controls and the heat distribution system).",Stationary combustion,PwC
Decarbonise heating within the firm's buildings and infrastructure,Not sure,Stationary combustion,PwC
Decarbonise heating within the firm's buildings and infrastructure,"Switch from current heating system to a vertical ground-source heat pumps within corporate buildings and/ or infrastructure (incl. installation costs of buffer tank, cylinder, ground works, controls and the heat distribution system)",Stationary combustion,PwC
Decarbonise heating within the firm's buildings and infrastructure,Switch to green electric heating systems within corporate buildings and/ or infrastructure (through Hydro large storage),Stationary combustion,PwC
Decarbonise heating within the firm's buildings and infrastructure,Switch from current heating system to bio-mass heating within corporate buildings and/ or infrastructure.,Stationary combustion,PwC
Decarbonise heating within the firm's buildings and infrastructure,Switch from current heating system to a horizontal ground-source heat pumps within corporate buildings and/ or infrastructure.,Stationary combustion,PwC
Decarbonise heating within the firm's buildings and infrastructure,Switch from current heating system to install new air-source heat pumps within corporate buildings and/ or infrastructure.,Stationary combustion,PwC
Decarbonise heating within the firm's buildings and infrastructure,Switch from current heating system to hybrid heat pumps to heat corporate buildings and/ or infrastructure,Stationary combustion,PwC
Decarbonise heating within the firm's buildings and infrastructure,Switch from current heating system to water source heat pumps within corporate buildings and/ or infrastructure.,Stationary combustion,PwC
Decarbonise heating within the firm's buildings and infrastructure,Switch kiln fuel to hydrogren,Stationary combustion,PwC
Decarbonise heating within the firm's buildings and infrastructure,Switch to green electric heating systems within corporate buildings and/ or infrastructure (Energy from Waste & Combined Heat and Power),Stationary combustion,PwC
Decarbonise heating within the firm's buildings and infrastructure,Switch to green electric heating systems within corporate buildings and/ or infrastructure (through Anerobic digestion plant with combined heat and power),Stationary combustion,PwC
Decarbonise heating within the firm's buildings and infrastructure,Switch to green electric heating systems within corporate buildings and/ or infrastructure (through anerobic digestion plant),Stationary combustion,PwC
Decarbonise heating within the firm's buildings and infrastructure,Switch to green electric heating systems within corporate buildings and/ or infrastructure (through direct PPA),Stationary combustion,PwC
Decarbonise heating within the firm's buildings and infrastructure,Switch to green electric heating systems within corporate buildings and/ or infrastructure (through Energy from Waste Plant),Stationary combustion,PwC
Decarbonise heating within the firm's buildings and infrastructure,Switch from current heating system to retrofit air-source heat pumps within corporate buildings and/ or infrastructure.,Stationary combustion,PwC
Decarbonise heating within the firm's buildings and infrastructure,"REGULATION - A gas & oil boiler ban in new homes from 2025 was announced as a policy in early 2019, the policy was reaffirmed as part of the ‘Future Homes Standard’ in 2021.The IEA suggests no sales of fossil fuel boilers sould remain past 2025 unless they are compatible with hydrogen.",Stationary combustion,PwC
Decarbonise the firm's manufacturing activities,Electrification of furnace heat (previously fossil fuel powered furnace),Stationary combustion,PwC
Decarbonise the firm's manufacturing activities,Usage of excess heat from the clinker burning process for electricity generation using steam turbines driven by the flue gas exhaust system,Stationary combustion,PwC
Decarbonise the firm's manufacturing activities,Utilise gasification of paper waste (used as part feed to steam boilers),Stationary combustion,PwC
Energy Efficiency Project 1,Second Scale 2024,Stationary combustion,PwC
Energy Efficiency Project 1,reduce,Stationary combustion,Client
Energy Efficiency Project 1,reduce emission test,Stationary combustion,Client
Energy Efficiency Project 1,Second Scale 2022,Stationary combustion,PwC
Energy Efficiency Project 1,Second Scale 2023,Stationary combustion,PwC
Energy Efficiency Project 2,Roger to run more and drive less,Stationary combustion,PwC
Energy Efficiency Project 2,Energy Audit Projects,Stationary combustion,PwC
Equipment Upgrades,Dryer Upgrades,Processing,PwC
Equipment Upgrades,Washer Upgrades,Processing,PwC
Heavy-Duty Fleet Electrification,Heavy-Duty Fleet Electrification,Mobile combustion,PwC
Implement energy efficiency measures within the firm's buildings and infrastructure,"When current gas/oil furnaces expire, replace with highest efficiency model with AFUE (annual fuel utilisation efficiency) rating above 95",Stationary combustion,PwC
Implement energy efficiency measures within the firm's buildings and infrastructure,"When air conditioning unit expires, replace with highest efficiency model (16 SEER or above)",Stationary combustion,PwC
Implement energy efficiency measures within the firm's buildings and infrastructure,Waste heat recovery via utilisation of the Organic Rankine cycle for electrical power generation at processing sites,Stationary combustion,PwC
Implement energy efficiency measures within the firm's buildings and infrastructure,Waste heat recovery via implementation of an economiser at processing sites,Stationary combustion,PwC
Implement energy efficiency measures within the firm's buildings and infrastructure,Waste heat recovery via implementation of an absorption chiller for chilling provision at processing sites,Stationary combustion,PwC
Implement energy efficiency measures within the firm's buildings and infrastructure,Waste heat recovery via a waste water heat recovery system,Stationary combustion,PwC
Implement energy efficiency measures within the firm's buildings and infrastructure,Use of immersion cooling for IT (to replace fans),Stationary combustion,PwC
Implement energy efficiency measures within the firm's buildings and infrastructure,"Retrofit water heating systems- when existing standard gas water heaters expire, replace with solar water heater or with tankless/condensing models",Stationary combustion,PwC
Implement energy efficiency measures within the firm's buildings and infrastructure,"Retrofit water heating systems- when existing electric water heater expires, replace with solar water heater or electric heat pump",Stationary combustion,PwC
Implement energy efficiency measures within the firm's buildings and infrastructure,Data centres: improve efficiency in own operations through thermal optimization (set point modification & fan speed),Stationary combustion,PwC
